API Code,Time of Call,Date,Count,,,
A1,01-02-2025 0.00,01-02-2025,,,Row Labels,Count of Time of Call
A1,01-02-2025 0.58,01-02-2025,,,A1,2363
A1,01-02-2025 1.49,01-02-2025,,,Feb,428
A1,01-02-2025 2.01,01-02-2025,,,01-Feb,15
A1,01-02-2025 3.11,01-02-2025,,,02-Feb,11
A1,01-02-2025 3.34,01-02-2025,,,03-Feb,20
A1,01-02-2025 7.03,01-02-2025,,,04-Feb,9
A1,01-02-2025 12.10,01-02-2025,,,05-Feb,17
A1,01-02-2025 16.00,01-02-2025,,,06-Feb,15
A1,01-02-2025 18.30,01-02-2025,,,07-Feb,14
A1,01-02-2025 19.17,01-02-2025,,,08-Feb,13
A1,01-02-2025 19.35,01-02-2025,,,09-Feb,10
A1,01-02-2025 19.49,01-02-2025,,,10-Feb,15
A1,01-02-2025 20.01,01-02-2025,,,11-Feb,12
A1,01-02-2025 23.41,01-02-2025,,,12-Feb,13
A1,02-02-2025 2.39,02-02-2025,,,13-Feb,21
A1,02-02-2025 3.34,02-02-2025,,,14-Feb,13
A1,02-02-2025 8.18,02-02-2025,,,15-Feb,9
A1,02-02-2025 9.20,02-02-2025,,,16-Feb,16
A1,02-02-2025 9.33,02-02-2025,,,17-Feb,18
A1,02-02-2025 9.44,02-02-2025,,,18-Feb,19
A1,02-02-2025 16.35,02-02-2025,,,19-Feb,13
A1,02-02-2025 18.16,02-02-2025,,,20-Feb,28
A1,02-02-2025 18.47,02-02-2025,,,21-Feb,13
A1,02-02-2025 20.16,02-02-2025,,,22-Feb,16
A1,02-02-2025 20.36,02-02-2025,,,23-Feb,22
A1,03-02-2025 0.20,03-02-2025,,,24-Feb,12
A1,03-02-2025 1.12,03-02-2025,,,25-Feb,18
A1,03-02-2025 2.23,03-02-2025,,,26-Feb,15
A1,03-02-2025 3.27,03-02-2025,,,27-Feb,14
A1,03-02-2025 3.33,03-02-2025,,,28-Feb,17
A1,03-02-2025 3.59,03-02-2025,,,Mar,426
A1,03-02-2025 5.41,03-02-2025,,,Apr,447
A1,03-02-2025 8.07,03-02-2025,,,May,498
A1,03-02-2025 9.22,03-02-2025,,,Jun,468
